"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,hit,strikeout,batting_avg,p_era,p_pitchout,p_relief_no_out,p_starting_p,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Burnes, Corbin",669203,2023,28,32,193.2,141,200,0.2,3.39,0,0,32,0.266,0.285,31,5.3,32.4,74.85655,92.97463,28.7,46.3
"Gilbert, Logan",669302,2023,26,32,190.2,169,189,0.233,3.73,0,0,32,0.29,0.297,35,9,44.6,80.44649,94.74617,26.3,52.2
"Bieber, Shane",669456,2023,28,21,128,124,107,0.253,3.8,0,0,21,0.307,0.336,34.4,7.8,47.8,81.65812,95.36188,24.2,46.1
"Kirby, George",669923,2023,25,31,190.2,179,172,0.246,3.35,0,0,31,0.284,0.305,32,7.5,40.9,78.35046,94.24979,22.9,54.5
"Oviedo, Johan",670912,2023,25,32,177.2,161,158,0.237,4.31,0,0,32,0.319,0.329,32.2,7.6,40.2,77.18477,94.17369,26,46.5
"Allen, Logan",671106,2023,24,24,125.1,127,119,0.263,3.81,0,0,24,0.326,0.323,34.2,7.6,39.1,77.88203,94.24561,24,47.7
"Detmers, Reid",672282,2023,23,28,148.2,141,168,0.248,4.48,0,0,28,0.321,0.327,37.2,6.2,41.4,79.27335,94.45708,27.1,48.8
"Senga, Kodai",673540,2023,30,29,166.1,126,202,0.208,2.98,0,0,29,0.282,0.304,31.5,6.8,40.6,77.90131,94.28481,29.7,45.2
"Strider, Spencer",675911,2023,24,32,186.2,146,281,0.21,3.86,1,0,32,0.279,0.273,40.2,8.2,36.1,77.7259,93.78433,38.6,53
"Miller, Bobby",676272,2023,24,22,124.1,105,119,0.226,3.76,0,0,22,0.283,0.286,33.3,6,37.6,77.30412,93.81218,26.7,48.2
"Bibee, Tanner",676440,2023,24,25,142,122,141,0.23,2.98,0,0,25,0.285,0.297,37.8,6.1,38.1,78.01009,94.07053,26.3,47.2
"Sears, JP",676664,2023,27,32,172.1,165,161,0.249,4.54,0,0,32,0.335,0.33,32.7,11.1,38.4,77.25363,94.08495,24.7,51
"Crawford, Kutter",676710,2023,27,31,129.1,107,135,0.221,4.04,0,0,23,0.29,0.28,30.5,7.7,35.3,76.35521,93.71217,26.8,52.4
"Bello, Brayan",678394,2023,24,28,157,165,132,0.27,4.24,0,0,28,0.334,0.314,28,7,44.3,78.00724,94.76009,24.4,48.4
"Rodriguez, Grayson",680570,2023,23,23,122,121,129,0.259,4.35,0,0,23,0.32,0.316,33.4,7.3,43.7,79.61343,94.42256,26.3,50.4
"Gray, Josiah",680686,2023,25,30,159,152,143,0.251,3.91,0,0,30,0.332,0.342,35,9.4,36.7,75.91231,93.71081,26.1,46.4
"Bradish, Kyle",680694,2023,26,30,168.2,132,168,0.215,2.83,1,0,30,0.268,0.3,33.3,6.9,42,80.024,94.2684,25.9,45.8
"Miller, Bryce",682243,2023,24,25,131.1,124,119,0.248,4.32,1,0,25,0.309,0.337,38.7,10.9,42.1,80.53382,94.75095,24.1,52.8
"Waldichuk, Ken",686610,2023,25,35,141,149,132,0.271,5.36,0,0,22,0.361,0.332,34.7,7.7,38.5,77.10349,93.7984,25.1,47.5
"Brown, Hunter",686613,2023,24,31,155.2,157,178,0.262,5.09,0,0,29,0.34,0.318,30,10.9,44.4,80.71069,94.87246,24.8,46.4
"Elder, Bryce",693821,2023,24,31,174.2,160,128,0.245,3.81,0,0,31,0.309,0.329,32,6,41,79.50245,94.39895,23.5,46.3
